cell_line,sample,bases_all,bases_deduped,bases_deduped_mapped,coverage_all,coverage_deduped,coverage_deduped_mapped,pileup_covered,assay_type,prop_pileup_cov,eff_cov
HG00131,HG00131-1-0-1-0,3410142626,3068051522,3055340493,1.03338,0.929713,0.925861,34239006,ilmn_1x,0.4044983602750569,0.5183511366642204
HG00131,HG00131-1-1-1-0,4418774306,4047228840,4029055537,1.33902,1.22643,1.22093,42205812,ilmn_1x,0.49861791396856914,0.6903868217952216
HG00131,HG00131-1-2-1-0,4618408688,4186611655,4171997422,1.39952,1.26867,1.26424,50199314,ilmn_1x,0.593052853226309,0.8990719624790494
HG00132,HG00132-0-0-1-0,2338768634,2174420234,2151729917,0.708718,0.658915,0.652039,29212966,ilmn_0.5x,0.3451209081762184,0.4233046530216504
HG00132,HG00132-0-1-1-0,1939407760,1748512503,1741825166,0.587699,0.529852,0.527826,23272242,ilmn_0.5x,0.2749374128712823,0.32149730077933625
HG00132,HG00132-0-2-1-0,2612982218,2349066532,2340316384,0.791813,0.711838,0.709187,32048093,ilmn_0.5x,0.3786149945019587,0.47580441250737365
HG00132,HG00132-1-0-1-0,4132972076,3768255585,3741442062,1.25242,1.1419,1.13377,39837258,ilmn_1x,0.47063590394108973,0.6360788115515247
HG00132,HG00132-1-1-1-0,3980251280,3684666062,3664359582,1.20614,1.11657,1.11041,38879329,ilmn_1x,0.459318965892131,0.614925759762234
HG00132,HG00132-1-2-1-0,3930247932,3603608658,3589207939,1.19098,1.092,1.08764,43650558,ilmn_1x,0.5156860901888118,0.7250220085086612
HG00145,HG00145-0-0-1-0,2231596686,2096541380,2074477713,0.676241,0.635316,0.62863,24968321,ilmn_0.5x,0.2949748279293292,0.3495217717424977
HG00145,HG00145-0-1-1-0,1689991396,1546826786,1538021372,0.512119,0.468735,0.466067,19513122,ilmn_0.5x,0.23052730715509498,0.26204981321409243
HG00145,HG00145-0-2-1-0,1721653680,1569674445,1561744378,0.521713,0.475659,0.473256,21382552,ilmn_0.5x,0.2526126845649707,0.2911717336629058
HG00145,HG00145-1-0-1-0,5260016446,4753048895,4720216663,1.59394,1.44032,1.43037,48623659,ilmn_1x,0.5744381228845696,0.85434491941355994
HG00145,HG00145-1-1-1-0,3951983476,3633275326,3615385450,1.19757,1.10099,1.09557,37106131,ilmn_1x,0.4383704697984357,0.5769128453851918
HG00145,HG00145-1-2-1-0,3440528054,3138164899,3123053272,1.04258,0.950959,0.94638,35995117,ilmn_1x,0.42524499117786385,0.5538114005927637
HG00160,HG00160-0-0-1-0,1890032270,1771658236,1764637793,0.572737,0.536866,0.534739,24694816,ilmn_0.5x,0.29174364989726165,0.34494917440596745
HG00160,HG00160-0-1-1-0,1411719838,1289839433,1286084667,0.427794,0.39086,0.389723,18805684,ilmn_0.5x,0.2221696605868428,0.25124685131879265
HG00160,HG00160-0-2-1-0,2129820572,1937996061,1932601133,0.6454,0.587272,0.585637,27760416,ilmn_0.5x,0.32796053578639095,0.3974382136749746
HG00160,HG00160-1-0-1-0,4225984754,3835810871,3818446475,1.2806,1.16237,1.1571,40127200,ilmn_1x,0.4740612680879014,0.6425705522832278
HG00160,HG00160-1-1-1-0,3710952746,3416339968,3405468119,1.12453,1.03525,1.03196,38469551,ilmn_1x,0.4544778636394315,0.6060118945863087
HG00160,HG00160-1-2-1-0,4203420522,3838185195,3826396323,1.27376,1.16309,1.15951,47075876,ilmn_1x,0.5561526713278974,0.8122746300234832
HG00234,HG00234-0-0-1-0,2020752970,1899287362,1890789988,0.612349,0.575542,0.572967,28217173,ilmn_0.5x,0.3333566462209098,0.40550007805097055
HG00234,HG00234-0-1-1-0,1481462208,1355975772,1352467891,0.448928,0.410902,0.409839,21113976,ilmn_0.5x,0.24943973755800347,0.28693533474046895
